feature,importance,rank
transact,0.04894774797503107,1
attachInterface,0.04675942126467218,2
android.os.Binder,0.0451449835478447,3
READ_PHONE_STATE,0.04206296349219731,4
Ljava.lang.Class.getCanonicalName,0.03910322094596252,5
TelephonyManager.getDeviceId,0.0347136596782356,6
onServiceConnected,0.033947234746336166,7
ServiceConnection,0.03117225072665759,8
bindService,0.02961519913400832,9
SEND_SMS,0.0244642483202971,10
TelephonyManager.getLine1Number,0.022107040353040563,11
TelephonyManager.getSubscriberId,0.021809219335273123,12
Ljava.lang.Class.cast,0.020521786247328717,13
Ljava.lang.Class.getMethods,0.018145818337686467,14
android.content.pm.Signature,0.017366555107320047,15
Landroid.content.Context.unregisterReceiver,0.014223002451698885,16
android.telephony.SmsManager,0.013332120887481732,17
ClassLoader,0.01256967719872204,18
Landroid.content.Context.registerReceiver,0.012522387073444725,19
READ_HISTORY_BOOKMARKS,0.012054533215492396,20
Ljava.net.URLDecoder,0.011902154778762792,21
chmod,0.01164442412026013,22
Ljava.lang.Class.getField,0.01154091005008269,23
INTERNET,0.011377316542198064,24
WRITE_HISTORY_BOOKMARKS,0.0107665144026863,25
getBinder,0.010766360822679032,26
READ_SMS,0.010102629449349214,27
RECEIVE_SMS,0.009496092422150269,28
android.intent.action.BOOT_COMPLETED,0.00935213389782996,29
GET_ACCOUNTS,0.009096866422225958,30
ACCESS_COARSE_LOCATION,0.008793568555247955,31
TelephonyManager.getSimSerialNumber,0.008065250085314052,32
ACCESS_WIFI_STATE,0.007864621793754438,33
Runtime.exec,0.007521720335558389,34
/system/bin,0.006715419482260588,35
android.telephony.gsm.SmsManager,0.006710724448494375,36
Ljava.lang.Class.getMethod,0.0063295721709820925,37
DexClassLoader,0.006255684932268557,38
Ljava.lang.Class.getResource,0.006117150444616092,39
Ljavax.crypto.spec.SecretKeySpec,0.0060253820858075,40
HttpUriRequest,0.00577423207342291,41
MANAGE_ACCOUNTS,0.0056635190931387455,42
System.loadLibrary,0.005563040232694991,43
WRITE_EXTERNAL_STORAGE,0.005496026122415588,44
RECEIVE_BOOT_COMPLETED,0.005478637997651058,45
android.content.pm.PackageInfo,0.005457002327417638,46
HttpGet.init,0.005375849169857298,47
WAKE_LOCK,0.005347306080643766,48
findClass,0.005317744911847571,49
HttpPost.init,0.005249087777865067,50
ACCESS_FINE_LOCATION,0.005202468058929032,51
Runtime.getRuntime,0.005188566412100479,52
android.intent.action.SEND,0.004999650128539256,53
